{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6400, 'end': 6600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.11429, 'sum-sq-ratio': 221.18639, 'sample-size': 200, 'sum-start': 144.0, 'sum-end': 144.0, 'sum-cov': 144.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6600, 'end': 6800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.24985, 'sum-sq-ratio': 219.35126, 'sample-size': 200, 'sum-start': 148.0, 'sum-end': 148.0, 'sum-cov': 148.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6800, 'end': 7000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.5062, 'sum-sq-ratio': 222.08804, 'sample-size': 200, 'sum-start': 147.0, 'sum-end': 147.0, 'sum-cov': 147.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7000, 'end': 7200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.3351, 'sum-sq-ratio': 221.60947, 'sample-size': 200, 'sum-start': 136.0, 'sum-end': 136.0, 'sum-cov': 136.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7200, 'end': 7400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.88995, 'sum-sq-ratio': 220.67487, 'sample-size': 200, 'sum-start': 145.0, 'sum-end': 145.0, 'sum-cov': 145.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7400, 'end': 7600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.32672, 'sum-sq-ratio': 219.5093, 'sample-size': 200, 'sum-start': 144.0, 'sum-end': 144.0, 'sum-cov': 144.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7600, 'end': 7800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.75502, 'sum-sq-ratio': 220.349, 'sample-size': 200, 'sum-start': 146.0, 'sum-end': 146.0, 'sum-cov': 146.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7800, 'end': 8000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.46536, 'sum-sq-ratio': 219.75708, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8000, 'end': 8200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.5279, 'sum-sq-ratio': 219.87366, 'sample-size': 200, 'sum-start': 150.0, 'sum-end': 150.0, 'sum-cov': 150.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8200, 'end': 8400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.5599, 'sum-sq-ratio': 219.9969, 'sample-size': 200, 'sum-start': 151.0, 'sum-end': 151.0, 'sum-cov': 151.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8400, 'end': 8600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 208.9443, 'sum-sq-ratio': 218.68436, 'sample-size': 200, 'sum-start': 139.0, 'sum-end': 139.0, 'sum-cov': 139.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8600, 'end': 8800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.80522, 'sum-sq-ratio': 220.47675, 'sample-size': 200, 'sum-start': 132.0, 'sum-end': 132.0, 'sum-cov': 132.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8800, 'end': 9000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.97282, 'sum-sq-ratio': 220.81096, 'sample-size': 200, 'sum-start': 141.0, 'sum-end': 141.0, 'sum-cov': 141.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 9000, 'end': 9045, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 47.375668, 'sum-sq-ratio': 49.97057, 'sample-size': 45, 'sum-start': 36.0, 'sum-end': 36.0, 'sum-cov': 36.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 0, 'end': 200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.12598, 'sum-sq-ratio': 206.3258, 'sample-size': 200, 'sum-start': 164.0, 'sum-end': 164.0, 'sum-cov': 164.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 200, 'end': 400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.17326, 'sum-sq-ratio': 206.42458, 'sample-size': 200, 'sum-start': 165.0, 'sum-end': 165.0, 'sum-cov': 165.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 400, 'end': 600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.09561, 'sum-sq-ratio': 206.26135, 'sample-size': 200, 'sum-start': 157.0, 'sum-end': 157.0, 'sum-cov': 157.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 600, 'end': 800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.1124, 'sum-sq-ratio': 206.30045, 'sample-size': 200, 'sum-start': 170.0, 'sum-end': 170.0, 'sum-cov': 170.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 800, 'end': 1000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.35886, 'sum-sq-ratio': 206.80856, 'sample-size': 200, 'sum-start': 149.0, 'sum-end': 149.0, 'sum-cov': 149.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1000, 'end': 1200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.27098, 'sum-sq-ratio': 206.63043, 'sample-size': 200, 'sum-start': 163.0, 'sum-end': 163.0, 'sum-cov': 163.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1200, 'end': 1400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.45943, 'sum-sq-ratio': 207.02084, 'sample-size': 200, 'sum-start': 152.0, 'sum-end': 152.0, 'sum-cov': 152.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1400, 'end': 1600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.74844, 'sum-sq-ratio': 207.60104, 'sample-size': 200, 'sum-start': 143.0, 'sum-end': 143.0, 'sum-cov': 143.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1600, 'end': 1800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.11224, 'sum-sq-ratio': 206.29811, 'sample-size': 200, 'sum-start': 161.0, 'sum-end': 161.0, 'sum-cov': 161.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1800, 'end': 2000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.59586, 'sum-sq-ratio': 207.29578, 'sample-size': 200, 'sum-start': 164.0, 'sum-end': 164.0, 'sum-cov': 164.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2000, 'end': 2200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.50758, 'sum-sq-ratio': 207.10963, 'sample-size': 200, 'sum-start': 154.0, 'sum-end': 154.0, 'sum-cov': 154.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2200, 'end': 2400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 202.98654, 'sum-sq-ratio': 206.04468, 'sample-size': 200, 'sum-start': 159.0, 'sum-end': 159.0, 'sum-cov': 159.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2400, 'end': 2600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.28368, 'sum-sq-ratio': 206.65634, 'sample-size': 200, 'sum-start': 157.0, 'sum-end': 157.0, 'sum-cov': 157.0}
