{'algo': 'baseline', 'seed': (97561, 21758), 'lr': 0.07, 'accuracy': 0.6770833333333334, 'lb': 1.4238158286662155, 'pval': 1.1102230246251565e-16, 'bal_acc': 0.6730094340641344, 'gap_rms_gen': 0.07601319761346201, 'mean_gap_gen': 0.06630292965277734, 'max_gap_gen': 0.10347721822541966, 'average_odds_difference_gen': 0.06630292965277734, 'equal_opportunity_difference_gen': 0.02912864108013502, 'statistical_parity_difference_gen': 0.12496750822664049, 'gap_rms_race': 0.22421845449663533, 'mean_gap_race': 0.20788473219118342, 'max_gap_race': 0.2918957639588012, 'average_odds_difference_race': 0.20788473219118342, 'equal_opportunity_difference_race': 0.2918957639588012, 'statistical_parity_difference_race': 0.25309629875093675}
{'algo': 'baseline', 'seed': (97561, 21758), 'lr': 0.06, 'accuracy': 0.6685606060606061, 'lb': 1.460026533007667, 'pval': 0.0, 'bal_acc': 0.6661867447979468, 'gap_rms_gen': 0.16389903974111106, 'mean_gap_gen': 0.1619031193123952, 'max_gap_gen': 0.18740361313064552, 'average_odds_difference_gen': 0.1619031193123952, 'equal_opportunity_difference_gen': 0.18740361313064552, 'statistical_parity_difference_gen': 0.1791782169364214, 'gap_rms_race': 0.1855381786655887, 'mean_gap_race': 0.16031509817460968, 'max_gap_race': 0.2537146968879295, 'average_odds_difference_race': 0.16031509817460968, 'equal_opportunity_difference_race': 0.2537146968879295, 'statistical_parity_difference_race': 0.19350247501876128}
{'algo': 'baseline', 'seed': (97561, 21758), 'lr': 0.065, 'accuracy': 0.6751893939393939, 'lb': 1.493465203321318, 'pval': 0.0, 'bal_acc': 0.6757953805120527, 'gap_rms_gen': 0.09533074689716282, 'mean_gap_gen': 0.09178766942511993, 'max_gap_gen': 0.11753597122302151, 'average_odds_difference_gen': 0.09178766942511993, 'equal_opportunity_difference_gen': 0.11753597122302151, 'statistical_parity_difference_gen': 0.1305042759923763, 'gap_rms_race': 0.2780993897394594, 'mean_gap_race': 0.27635251250468185, 'max_gap_race': 0.30747419957028643, 'average_odds_difference_race': 0.27635251250468185, 'equal_opportunity_difference_race': 0.30747419957028643, 'statistical_parity_difference_race': 0.29871526359763667}
{'algo': 'baseline', 'seed': (45413, 35730), 'lr': 0.07, 'accuracy': 0.6818181818181818, 'lb': 1.480671986144523, 'pval': 0.0, 'bal_acc': 0.6774817059782667, 'gap_rms_gen': 0.11164935907124686, 'mean_gap_gen': 0.09499406126810311, 'max_gap_gen': 0.15366013071895424, 'average_odds_difference_gen': 0.09499406126810311, 'equal_opportunity_difference_gen': 0.15366013071895424, 'statistical_parity_difference_gen': 0.13652418850040243, 'gap_rms_race': 0.20804177380743294, 'mean_gap_race': 0.19160659932705537, 'max_gap_race': 0.2726515914194997, 'average_odds_difference_race': 0.19160659932705537, 'equal_opportunity_difference_race': 0.2726515914194997, 'statistical_parity_difference_race': 0.2384541390822158}
{'algo': 'baseline', 'seed': (45413, 35730), 'lr': 0.06, 'accuracy': 0.6761363636363636, 'lb': 1.4353341784311382, 'pval': 0.0, 'bal_acc': 0.6764666712259244, 'gap_rms_gen': 0.09115844484167439, 'mean_gap_gen': 0.09113914229216488, 'max_gap_gen': 0.09301499095373489, 'average_odds_difference_gen': 0.09113914229216488, 'equal_opportunity_difference_gen': 0.09301499095373489, 'statistical_parity_difference_gen': 0.14643594468000087, 'gap_rms_race': 0.2293256217690668, 'mean_gap_race': 0.22400015264376902, 'max_gap_race': 0.2731343811951288, 'average_odds_difference_race': 0.22400015264376902, 'equal_opportunity_difference_race': 0.2731343811951288, 'statistical_parity_difference_race': 0.25445156695156695}
{'algo': 'baseline', 'seed': (45413, 35730), 'lr': 0.065, 'accuracy': 0.6647727272727273, 'lb': 1.444463915746172, 'pval': 0.0, 'bal_acc': 0.6653984731285747, 'gap_rms_gen': 0.08896195075512679, 'mean_gap_gen': 0.07668647357468836, 'max_gap_gen': 0.12177985948477754, 'average_odds_difference_gen': 0.07668647357468836, 'equal_opportunity_difference_gen': 0.12177985948477754, 'statistical_parity_difference_gen': 0.12341269841269842, 'gap_rms_race': 0.24228202096068635, 'mean_gap_race': 0.24121305254666336, 'max_gap_race': 0.2639471890359847, 'average_odds_difference_race': 0.24121305254666336, 'equal_opportunity_difference_race': 0.2639471890359847, 'statistical_parity_difference_race': 0.265159767610748}
{'algo': 'baseline', 'seed': (51668, 64395), 'lr': 0.07, 'accuracy': 0.6742424242424242, 'lb': 1.38696026319365, 'pval': 1.8096635301390052e-14, 'bal_acc': 0.6704376527501323, 'gap_rms_gen': 0.09911556121523633, 'mean_gap_gen': 0.09005498363564786, 'max_gap_gen': 0.13145539906103287, 'average_odds_difference_gen': 0.09005498363564786, 'equal_opportunity_difference_gen': 0.13145539906103287, 'statistical_parity_difference_gen': 0.13227838377630974, 'gap_rms_race': 0.2092632921712222, 'mean_gap_race': 0.20286926059818206, 'max_gap_race': 0.25420334824650015, 'average_odds_difference_race': 0.20286926059818206, 'equal_opportunity_difference_race': 0.25420334824650015, 'statistical_parity_difference_race': 0.23255238409503387}
{'algo': 'baseline', 'seed': (51668, 64395), 'lr': 0.06, 'accuracy': 0.6685606060606061, 'lb': 1.4293063919126663, 'pval': 0.0, 'bal_acc': 0.664289853611832, 'gap_rms_gen': 0.11347927345993637, 'mean_gap_gen': 0.10585190465858728, 'max_gap_gen': 0.1467532467532468, 'average_odds_difference_gen': 0.10585190465858728, 'equal_opportunity_difference_gen': 0.1467532467532468, 'statistical_parity_difference_gen': 0.14281320202347536, 'gap_rms_race': 0.228134687620114, 'mean_gap_race': 0.21488203927486388, 'max_gap_race': 0.29150543578404275, 'average_odds_difference_race': 0.21488203927486388, 'equal_opportunity_difference_race': 0.29150543578404275, 'statistical_parity_difference_race': 0.2556903250610899}
{'algo': 'baseline', 'seed': (51668, 64395), 'lr': 0.065, 'accuracy': 0.6638257575757576, 'lb': 1.4117509110249191, 'pval': 5.551115123125783e-16, 'bal_acc': 0.6588133451874034, 'gap_rms_gen': 0.08636335412926857, 'mean_gap_gen': 0.08474831481800481, 'max_gap_gen': 0.10137215528781793, 'average_odds_difference_gen': 0.08474831481800481, 'equal_opportunity_difference_gen': 0.06812447434819169, 'statistical_parity_difference_gen': 0.1253679653679654, 'gap_rms_race': 0.18449352330251662, 'mean_gap_race': 0.1702221844770507, 'max_gap_race': 0.24137180185084378, 'average_odds_difference_race': 0.1702221844770507, 'equal_opportunity_difference_race': 0.24137180185084378, 'statistical_parity_difference_race': 0.19856244384546273}
{'algo': 'project', 'seed': (98539, 77708), 'lr': 0.07, 'accuracy': 0.6534090909090909, 'lb': 1.0779159814671366, 'pval': 1.0, 'bal_acc': 0.6544418568657022, 'gap_rms_gen': 0.06367302263378999, 'mean_gap_gen': 0.06365510801839053, 'max_gap_gen': 0.06516541742052206, 'average_odds_difference_gen': 0.06365510801839053, 'equal_opportunity_difference_gen': 0.06516541742052206, 'statistical_parity_difference_gen': 0.10708166761850374, 'gap_rms_race': 0.20072783666246852, 'mean_gap_race': 0.19887945856700412, 'max_gap_race': 0.22605712166172098, 'average_odds_difference_race': 0.19887945856700412, 'equal_opportunity_difference_race': 0.22605712166172098, 'statistical_parity_difference_race': 0.2302891332077993}
